pm2_5,city,co,pm10,level,o3,spider,so2,crawl_time,date,aqi,no2
88,安阳,1.8,104,轻度污染,86,,36,,2017-02-23,117,46
72,安阳,2.5,115,良,78,,44,,2017-02-24,97,61
64,安阳,2.4,103,良,71,,47,,2017-02-25,87,60
74,安阳,2.4,113,良,67,,49,,2017-02-26,99,65
74,安阳,1.7,116,良,86,,40,,2017-02-27,99,54
67,安阳,1.2,79,良,65,,21,,2017-03-23,90,38
103,安阳,1.8,121,轻度污染,60,,28,,2017-03-24,135,53
74,安阳,1.8,116,良,78,,34,,2017-03-25,99,53
37,安阳,1.3,66,良,88,,38,,2017-03-26,58,39
70,安阳,1.5,120,良,85,,50,,2017-03-27,94,52
0,安阳,0,0,无,0,,52,,2017-01-27,0,41
0,安阳,0,0,无,0,,34,,2017-01-28,0,29
0,安阳,0,0,无,0,,66,,2017-01-29,0,44
40,安阳,1.2,66,良,78,,31,,2017-01-30,58,25
59,安阳,1.4,94,良,71,,36,,2017-01-31,80,27
134,安阳,2.5,145,中度污染,9,,41,,2016-12-26,178,64
130,安阳,2.8,164,中度污染,47,,51,,2016-12-27,172,63
193,安阳,2.9,249,重度污染,28,,44,,2016-12-28,243,60
236,安阳,4.5,314,重度污染,32,,71,,2016-12-29,286,74
228,安阳,2.7,282,重度污染,36,,46,,2016-12-30,278,68
327,安阳,5.6,420,严重污染,14,,58,,2016-12-31,377,89
73,安阳,1.7,109,良,40,,53,,2016-11-23,98,46
133,安阳,2,184,中度污染,36,,62,,2016-11-24,176,54
132,安阳,1.8,172,中度污染,32,,55,,2016-11-25,175,64
87,安阳,2,187,轻度污染,55,,66,,2016-11-26,119,62
98,安阳,2.7,218,轻度污染,50,,64,,2016-11-27,134,60
120,安阳,2.5,209,中度污染,49,,59,,2016-11-28,158,62
103,安阳,1.8,178,轻度污染,134,,45,,2016-10-19,135,56
102,安阳,1.8,173,轻度污染,22,,26,,2016-10-20,134,60
36,安阳,1.9,47,良,12,,32,,2016-10-21,63,50
33,安阳,1.8,60,良,17,,44,,2016-10-22,55,42
34,安阳,1.6,52,良,29,,33,,2016-10-23,58,46
34,安阳,2,115,良,47,,36,,2016-10-24,83,56,2018-08-24,42,11
17,北海,1,30,良,112,,8,,2018-08-25,60,11
13,北海,0.7,32,优,80,,7,,2018-06-26,40,10
8,北海,1,20,优,59,,7,,2018-06-27,30,13
8,北海,1,29,优,64,,6,,2018-06-28,32,11
7,北海,0.7,23,优,74,,7,,2018-07-26,37,9
8,北海,0.9,21,优,73,,7,,2018-07-27,37,9
5,北海,0.7,19,优,60,,7,,2018-07-28,30,8
6,北海,0.9,21,优,59,,7,,2018-07-29,30,10
6,北海,0.7,27,优,65,,7,,2018-07-30,33,8
7,北海,0.9,29,优,63,,7,,2018-07-31,32,9
12,北海,0.6,31,优,80,,7,,2018-05-21,40,12
9,北海,0.6,23,优,78,,7,,2018-05-22,39,10
7,北海,0.6,23,优,85,,6,,2018-05-23,43,11
6,北海,0.5,20,优,79,,6,,2018-05-24,40,9
6,北海,0.6,26,优,88,,6,,2018-05-25,44,8
7,北海,0.6,31,优,83,,6,,2018-05-26,42,9
7,北海,0.6,27,优,88,,6,,2018-05-27,44,11
19,北海,0.6,40,良,105,,8,,2018-04-23,55,12
27,北海,0.8,46,优,90,,10,,2018-04-24,46,16
20,北海,1.1,34,优,60,,12,,2018-04-25,34,20
29,北海,1.3,46,优,39,,8,,2018-04-26,46,20
14,北海,1.2,23,优,54,,8,,2018-04-27,30,15
26,北海,1.1,45,良,104,,9,,2018-04-28,54,14
47,北海,1.1,72,轻度污染,168,,15,,2018-03-22,108,22
43,北海,1,75,良,151,,13,,2018-03-23,93,18
27,北海,0.8,72,良,122,,9,,2018-03-24,69,12
29,北海,0.8,68,良,111,,8,,2018-03-25,60,13
32,北海,0.8,65,良,105,,11,,2018-03-26,58,15
20,北海,1.3,29,优,48,,8,,2018-02-25,33,12
26,北海,1,37,良,106,,8,,2018-02-26,55,11
24,北海,0.8,41,优,97,,8,,2018-02-27,49,9
36,北海,0.8,54,良,98,,7,,2018-02-28,52,12
81,北海,1.4,98,轻度污染,124,,16,,2017-12-24,108,21
72,北海,1.4,109,良,145,,18,,2017-12-25,97,36
87,北海,1.4,119,轻度污染,127,,21,,2017-12-26,115,33
104,北海,1.4,137,轻度污染,156,,26,,2017-12-27,137,33
98,北海,1.2,101,轻度污染,80,,10,,2017-12-28,129,27
65,北海,1.5,58,良,60,,9,,2018-01-30,88,17
55,北海,1.4,57,良,96,,9,,2018-01-31,75,14
87,安阳,2.4,140,轻度污染,41,,35,,2018-01-30,115,62
